Batch 253: 0.092 s, average cost 0.788, 34/100 correct (34.0%)
Batch 254: 0.084 s, average cost 0.859, 28/100 correct (28.0%)
Batch 255: 0.084 s, average cost 0.86, 32/100 correct (32.0%)
Batch 256: 0.084 s, average cost 0.823, 31/100 correct (31.0%)
Batch 257: 0.081 s, average cost 0.825, 33/100 correct (33.0%)
Batch 258: 0.087 s, average cost 0.876, 21/100 correct (21.0%)
Batch 259: 0.084 s, average cost 0.877, 27/100 correct (27.0%)
Batch 260: 0.085 s, average cost 0.829, 32/100 correct (32.0%)
Batch 261: 0.088 s, average cost 0.789, 40/100 correct (40.0%)
Batch 262: 0.086 s, average cost 0.833, 31/100 correct (31.0%)
Batch 263: 0.087 s, average cost 0.831, 32/100 correct (32.0%)
Batch 264: 0.084 s, average cost 0.851, 28/100 correct (28.0%)
Batch 265: 0.083 s, average cost 0.831, 32/100 correct (32.0%)
Batch 266: 0.086 s, average cost 0.769, 38/100 correct (38.0%)
Batch 267: 0.086 s, average cost 0.888, 19/100 correct (19.0%)
Batch 268: 0.087 s, average cost 0.85, 27/100 correct (27.0%)
Batch 269: 0.085 s, average cost 0.856, 28/100 correct (28.0%)
Batch 270: 0.091 s, average cost 0.812, 33/100 correct (33.0%)
Batch 271: 0.084 s, average cost 0.879, 24/100 correct (24.0%)
Batch 272: 0.084 s, average cost 0.842, 34/100 correct (34.0%)
Batch 273: 0.083 s, average cost 0.836, 30/100 correct (30.0%)
Batch 274: 0.088 s, average cost 0.809, 37/100 correct (37.0%)
Batch 275: 0.083 s, average cost 0.885, 24/100 correct (24.0%)
Batch 276: 0.081 s, average cost 0.855, 31/100 correct (31.0%)
Batch 277: 0.082 s, average cost 0.816, 37/100 correct (37.0%)
Batch 278: 0.083 s, average cost 0.855, 27/100 correct (27.0%)
Batch 279: 0.082 s, average cost 0.833, 31/100 correct (31.0%)
Batch 280: 0.081 s, average cost 0.789, 41/100 correct (41.0%)
Batch 281: 0.083 s, average cost 0.883, 26/100 correct (26.0%)
Batch 282: 0.081 s, average cost 0.806, 34/100 correct (34.0%)
Batch 283: 0.088 s, average cost 0.849, 28/100 correct (28.0%)
Batch 284: 0.09 s, average cost 0.846, 29/100 correct (29.0%)
Batch 285: 0.09 s, average cost 0.798, 36/100 correct (36.0%)
Batch 286: 0.087 s, average cost 0.839, 27/100 correct (27.0%)
Batch 287: 0.087 s, average cost 0.802, 34/100 correct (34.0%)
Batch 288: 0.086 s, average cost 0.84, 29/100 correct (29.0%)
Batch 289: 0.083 s, average cost 0.876, 24/100 correct (24.0%)
Batch 290: 0.082 s, average cost 0.801, 38/100 correct (38.0%)
Batch 291: 0.084 s, average cost 0.872, 27/100 correct (27.0%)
Batch 292: 0.087 s, average cost 0.799, 35/100 correct (35.0%)
Batch 293: 0.089 s, average cost 0.829, 27/100 correct (27.0%)
Batch 294: 0.084 s, average cost 0.859, 26/100 correct (26.0%)
Batch 295: 0.086 s, average cost 0.775, 34/100 correct (34.0%)
Batch 296: 0.089 s, average cost 0.854, 27/100 correct (27.0%)
Batch 297: 0.088 s, average cost 0.822, 33/100 correct (33.0%)
Batch 298: 0.082 s, average cost 0.763, 38/100 correct (38.0%)
Batch 299: 0.083 s, average cost 0.835, 30/100 correct (30.0%)
Batch 300: 0.083 s, average cost 0.835, 23/100 correct (23.0%)
Batch 301: 0.084 s, average cost 0.848, 28/100 correct (28.0%)
Batch 302: 0.087 s, average cost 0.779, 37/100 correct (37.0%)
Batch 303: 0.086 s, average cost 0.88, 26/100 correct (26.0%)
Batch 304: 0.087 s, average cost 0.846, 32/100 correct (32.0%)
Batch 305: 0.085 s, average cost 0.84, 28/100 correct (28.0%)
Batch 306: 0.088 s, average cost 0.778, 37/100 correct (37.0%)
Batch 307: 0.086 s, average cost 0.855, 22/100 correct (22.0%)
Batch 308: 0.088 s, average cost 0.779, 37/100 correct (37.0%)
Batch 309: 0.091 s, average cost 0.842, 35/100 correct (35.0%)
Batch 310: 0.089 s, average cost 0.831, 33/100 correct (33.0%)
Batch 311: 0.085 s, average cost 0.824, 32/100 correct (32.0%)
Batch 312: 0.085 s, average cost 0.89, 22/100 correct (22.0%)
Batch 313: 0.085 s, average cost 0.833, 25/100 correct (25.0%)
Batch 314: 0.086 s, average cost 0.85, 28/100 correct (28.0%)
Batch 315: 0.082 s, average cost 0.874, 25/100 correct (25.0%)
Batch 316: 0.085 s, average cost 0.796, 35/100 correct (35.0%)
Batch 317: 0.087 s, average cost 0.826, 29/100 correct (29.0%)
Batch 318: 0.083 s, average cost 0.803, 29/100 correct (29.0%)
Batch 319: 0.089 s, average cost 0.84, 28/100 correct (28.0%)
Batch 320: 0.089 s, average cost 0.804, 36/100 correct (36.0%)
Batch 321: 0.087 s, average cost 0.847, 23/100 correct (23.0%)
Batch 322: 0.09 s, average cost 0.785, 35/100 correct (35.0%)
Batch 323: 0.087 s, average cost 0.837, 30/100 correct (30.0%)
Batch 324: 0.087 s, average cost 0.808, 38/100 correct (38.0%)
