Batch 191: 0.121 s, average cost 1.809, 12/150 correct (8.0%)
Batch 192: 0.118 s, average cost 1.871, 8/150 correct (5.3%)
Batch 193: 0.118 s, average cost 1.833, 11/150 correct (7.3%)
Batch 194: 0.12 s, average cost 1.836, 11/150 correct (7.3%)
Batch 195: 0.121 s, average cost 1.756, 17/150 correct (11.3%)
Batch 196: 0.118 s, average cost 1.801, 12/150 correct (8.0%)
Batch 197: 0.122 s, average cost 1.781, 15/150 correct (10.0%)
Batch 198: 0.12 s, average cost 1.774, 15/150 correct (10.0%)
Batch 199: 0.12 s, average cost 1.699, 21/150 correct (14.0%)
Batch 200: 0.12 s, average cost 1.755, 16/150 correct (10.7%)
Batch 201: 0.123 s, average cost 1.765, 16/150 correct (10.7%)
Batch 202: 0.118 s, average cost 1.756, 16/150 correct (10.7%)
Batch 203: 0.122 s, average cost 1.768, 15/150 correct (10.0%)
Batch 204: 0.119 s, average cost 1.754, 17/150 correct (11.3%)
Batch 205: 0.119 s, average cost 1.738, 18/150 correct (12.0%)
Batch 206: 0.118 s, average cost 1.846, 9/150 correct (6.0%)
Batch 207: 0.121 s, average cost 1.852, 8/150 correct (5.3%)
Batch 208: 0.12 s, average cost 1.71, 19/150 correct (12.7%)
Batch 209: 0.12 s, average cost 1.79, 14/150 correct (9.3%)
Batch 210: 0.118 s, average cost 1.749, 17/150 correct (11.3%)
Batch 211: 0.121 s, average cost 1.71, 20/150 correct (13.3%)
Batch 212: 0.121 s, average cost 1.661, 23/150 correct (15.3%)
Batch 213: 0.119 s, average cost 1.79, 14/150 correct (9.3%)
Batch 214: 0.1191 s, average cost 1.82, 12/150 correct (8.0%)
Batch 215: 0.12 s, average cost 1.813, 12/150 correct (8.0%)
Batch 216: 0.119 s, average cost 1.71, 19/150 correct (12.7%)
Batch 217: 0.119 s, average cost 1.716, 19/150 correct (12.7%)
Batch 218: 0.12 s, average cost 1.766, 15/150 correct (10.0%)
Batch 219: 0.119 s, average cost 1.786, 14/150 correct (9.3%)
Batch 220: 0.12 s, average cost 1.84, 10/150 correct (6.7%)
Batch 221: 0.119 s, average cost 1.752, 17/150 correct (11.3%)
Batch 222: 0.12 s, average cost 1.819, 9/150 correct (6.0%)
Batch 223: 0.12 s, average cost 1.846, 10/150 correct (6.7%)
Batch 224: 0.119 s, average cost 1.831, 9/150 correct (6.0%)
Batch 225: 0.119 s, average cost 1.807, 12/150 correct (8.0%)
Batch 226: 0.12 s, average cost 1.753, 17/150 correct (11.3%)
Batch 227: 0.118 s, average cost 1.734, 19/150 correct (12.7%)
Batch 228: 0.121 s, average cost 1.703, 20/150 correct (13.3%)
Batch 229: 0.121 s, average cost 1.767, 14/150 correct (9.3%)
Batch 230: 0.122 s, average cost 1.666, 23/150 correct (15.3%)
Batch 231: 0.118 s, average cost 1.766, 15/150 correct (10.0%)
Batch 232: 0.119 s, average cost 1.8, 13/150 correct (8.7%)
Batch 233: 0.121 s, average cost 1.742, 17/150 correct (11.3%)
Batch 234: 0.121 s, average cost 1.721, 19/150 correct (12.7%)
Batch 235: 0.121 s, average cost 1.801, 12/150 correct (8.0%)
Batch 236: 0.119 s, average cost 1.772, 15/150 correct (10.0%)
Batch 237: 0.122 s, average cost 1.774, 16/150 correct (10.7%)
Batch 238: 0.118 s, average cost 1.798, 13/150 correct (8.7%)
Batch 239: 0.119 s, average cost 1.774, 14/150 correct (9.3%)
Batch 240: 0.12 s, average cost 1.709, 19/150 correct (12.7%)
Batch 241: 0.12 s, average cost 1.802, 13/150 correct (8.7%)
Batch 242: 0.119 s, average cost 1.748, 16/150 correct (10.7%)
Batch 243: 0.12 s, average cost 1.809, 12/150 correct (8.0%)
Batch 244: 0.12 s, average cost 1.845, 10/150 correct (6.7%)
Batch 245: 0.123 s, average cost 1.775, 15/150 correct (10.0%)
Batch 246: 0.119 s, average cost 1.749, 17/150 correct (11.3%)
Batch 247: 0.1184 s, average cost 1.707, 20/150 correct (13.3%)
Batch 248: 0.119 s, average cost 1.707, 19/150 correct (12.7%)
